name,location,total_price,Nbr_of_nights,Nbr_of_persons,room_type,beds,rating,rating_title,number_of_ratings,distance_from_centre,start_date,end_date,breakfast_inclusion,free_cancellation,url
Comfortable flat at the heart of Old Lille close to stations - Welkeys,Vieux Lille, 2286,29,2,Apartment,1 extra-large double bed,,,,550 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/confortable-flat-at-the-heart-of-old-lille-close-to-stations-welkeys.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=596706502_265504832_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=131&highlighted_blocks=596706502_265504832_4_0_0&hpos=6&no_rooms=1&sr_order=price&sr_pri_blocks=596706502_265504832_4_0_0__228613&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Appart République parking privé gratuit,Lille Centre, 2291,29,2,Studio Apartment,1 double bed,8.8,Fabulous,146 reviews,650 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/clos-des-poetes.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=270299402_130271037_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=132&highlighted_blocks=270299402_130271037_2_0_0&hpos=7&no_rooms=1&sr_order=price&sr_pri_blocks=270299402_130271037_2_0_0__229100&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
9 Rue du Molinel,Lille Centre, 2291,29,2,Apartment with Balcony,1 sofa bed,8.4,Very good,18 reviews,550 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/9-rue-du-molinel.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=463315601_240343473_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=133&highlighted_blocks=463315601_240343473_4_0_0&hpos=8&no_rooms=1&sr_order=price&sr_pri_blocks=463315601_240343473_4_0_0__229100&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
hellemmes metro,Lille, 2291,29,2,Two-Bedroom Apartment,"4 beds(2 singles, 1 double, 1 sofa bed)",,,,3.7 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/hellemmes-metro.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=648715001_265801875_5_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=134&highlighted_blocks=648715001_265801875_5_0_0&hpos=9&no_rooms=1&sr_order=price&sr_pri_blocks=648715001_265801875_5_0_0__229100&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Cosy flat at the heart of Old Lille close to stations - Welkeys,Vieux Lille, 2306,29,2,Apartment,1 extra-large double bed,9.1,Superb,4 reviews,550 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/cosy-flat-at-the-heart-of-old-lille-close-to-stations-welkeys.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=596705402_265504833_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=135&highlighted_blocks=596705402_265504833_4_0_0&hpos=10&no_rooms=1&sr_order=price&sr_pri_blocks=596705402_265504833_4_0_0__230565&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Welkeys - La Scala,Lille Centre, 2323,29,2,Apartment,2 large double beds,8.4,Very good,15 reviews,500 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/welkeys-la-scala.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=380897901_135833227_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=136&highlighted_blocks=380897901_135833227_4_0_0&hpos=11&no_rooms=1&sr_order=price&sr_pri_blocks=380897901_135833227_4_0_0__232324&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le Chat Qui Dort - Vieux Lille II,Vieux Lille, 2350,29,2,Apartment with Shower,1 large double bed,9.2,Superb,107 reviews,1.2 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-chat-qui-dort-vieux-lille-ii.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=494935702_269045065_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=137&highlighted_blocks=494935702_269045065_2_0_0&hpos=12&no_rooms=1&sr_order=price&sr_pri_blocks=494935702_269045065_2_0_0__234973&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Apartment Lille - Proche métro - Stationnement gratuit,Fives, 2371,29,2,Two-Bedroom Apartment,"3 beds(1 sofa bed, 2 large doubles)",8.8,Fabulous,57 reviews,1.6 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/apartment-standing-lille.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=412158001_259774265_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=138&highlighted_blocks=412158001_259774265_2_0_0&hpos=13&no_rooms=1&sr_order=price&sr_pri_blocks=412158001_259774265_2_0_0__237100&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Appartement Lille/1ch/stationnement gratuit,Fives, 2371,29,2,One-Bedroom Apartment,"2 beds(1 sofa bed, 1 large double)",8.7,Fabulous,25 reviews,1.6 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/appartement-lille-47-1ch-47-stationnement-gratuit.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=438013301_239529076_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=139&highlighted_blocks=438013301_239529076_2_0_0&hpos=14&no_rooms=1&sr_order=price&sr_pri_blocks=438013301_239529076_2_0_0__237100&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
70 m2 avec Balcons et Parking,Vauban, 2371,29,2,One-Bedroom Apartment,"2 beds(1 sofa bed, 1 large double)",7.8,Good,8 reviews,2.3 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/70-m2-avec-balcons-et-parking.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=597178702_266348512_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=140&highlighted_blocks=597178702_266348512_2_0_0&hpos=15&no_rooms=1&sr_order=price&sr_pri_blocks=597178702_266348512_2_0_0__237100&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charming and cosy T2 VIEUX LILLE,Vieux Lille, 2429,29,2,Apartment,1 double bed,,,,1.3 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charming-and-cosy-t2-vieux-lille.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=625590302_270860272_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=141&highlighted_blocks=625590302_270860272_2_0_0&hpos=16&no_rooms=1&sr_order=price&sr_pri_blocks=625590302_270860272_2_0_0__242875&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 3pers,Lille Centre, 2510,29,2,Apartment,"2 beds(1 double, 1 sofa bed)",,,,750 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/euralille-superbe-appartement-avec-vue.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=641879702_265477891_3_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=142&highlighted_blocks=641879702_265477891_3_0_0&hpos=17&no_rooms=1&sr_order=price&sr_pri_blocks=641879702_265477891_3_0_0__251042&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 4pers,Lille Centre, 2510,29,2,Apartment,"2 beds(1 double, 1 sofa bed)",,,,350 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/lille-grand-place-superbe-appartement-cosy.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=642548702_265477936_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=143&highlighted_blocks=642548702_265477936_4_0_0&hpos=18&no_rooms=1&sr_order=price&sr_pri_blocks=642548702_265477936_4_0_0__251042&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Central Lille Nice functional and cozy ap for 4pers - with view,Vieux Lille, 2510,29,2,Apartment,"2 beds(1 double, 1 sofa bed)",,,,200 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/grand-place-superbe-appart-60m2-avec-vue.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=641702102_265481279_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=144&highlighted_blocks=641702102_265481279_4_0_0&hpos=19&no_rooms=1&sr_order=price&sr_pri_blocks=641702102_265481279_4_0_0__251042&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Bright and cosy duplex with terrace at the heart of Old Lille - Welkeys,Vieux Lille, 2528,29,2,Apartment,"2 beds(1 double, 1 sofa bed)",,,,800 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/bright-and-cosy-duplex-with-terrace-at-the-heart-of-old-lille-welkeys.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=620355702_265507593_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=145&highlighted_blocks=620355702_265507593_4_0_0&hpos=20&no_rooms=1&sr_order=price&sr_pri_blocks=620355702_265507593_4_0_0__252797&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
ROYALE APARTMENTS VIEUX LILLE 24H24H Access,Vieux Lille, 2529,29,2,Superior Studio,1 double bed,8.3,Very good,181 reviews,550 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/spacieux-2-studio-vieux-lille.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=204441201_264422266_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=146&highlighted_blocks=204441201_264422266_2_0_0&hpos=21&no_rooms=1&sr_order=price&sr_pri_blocks=204441201_264422266_2_0_0__252880&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Studios de standing - Emeraude - Lille euralille,Lille Centre, 2529,29,2,Studio Apartment,1 double bed,8.5,Very good,205 reviews,700 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/grand-studio-residence-emeraude-lille-euralille.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=276286903_178046159_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=147&highlighted_blocks=276286903_178046159_2_0_0&hpos=22&no_rooms=1&sr_order=price&sr_pri_blocks=276286903_178046159_2_0_0__252900&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le Pacific Lille Euralille,Lille Centre, 2529,29,2,Studio Apartment,1 double bed,8.2,Very good,192 reviews,700 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-pacific-lille-euralille.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=274781206_133875203_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=148&highlighted_blocks=274781206_133875203_2_0_0&hpos=23&no_rooms=1&sr_order=price&sr_pri_blocks=274781206_133875203_2_0_0__252900&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Lille City Hotel,Lille Centre, 2534,29,2,Double Room,1 double bed,6.6,Review score,81 reviews,400 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/misterbeddelille.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=5135602_113884128_0_2_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=149&highlighted_blocks=5135602_113884128_0_2_0&hpos=24&no_rooms=1&sr_order=price&sr_pri_blocks=5135602_113884128_0_2_0__253384&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
LITTLE PLAZA Appart'Hotel,Vieux Lille, 2544,29,2,Superior Studio,1 large double bed,8.9,Fabulous,121 reviews,800 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-plaza-apartment.en-gb.html?aid=356980&sid=4cea19e785924cd31215d871a7586352&all_sr_blocks=173316302_214357085_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=150&highlighted_blocks=173316302_214357085_2_0_0&hpos=25&no_rooms=1&sr_order=price&sr_pri_blocks=173316302_214357085_2_0_0__254352&srepoch=1605067293&srpvid=a9641c4eb407007d&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Old Town Nice functional and cozy ap with terace for 5pers 2bdr,Vieux Lille, 2622,29,2,Apartment,"3 beds(1 single, 1 double, 1 sofa bed)",,,,1.3 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/vieux-lille-superbe-type-loft-terrasse.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=641814402_265477911_5_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=151&highlighted_blocks=641814402_265477911_5_0_0&hpos=1&no_rooms=1&sr_order=price&sr_pri_blocks=641814402_265477911_5_0_0__262175&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Modern and bright flat in Central Lille close to Euralille - Welkeys,Fives, 2641,29,2,Apartment,"2 beds(1 single, 1 double)",,,,1.4 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/modern-and-bright-flat-in-central-lille-close-to-euralille-welkeys.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=547993902_265507316_3_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=152&highlighted_blocks=547993902_265507316_3_0_0&hpos=2&no_rooms=1&sr_order=price&sr_pri_blocks=547993902_265507316_3_0_0__264136&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Atypical flat in Lille close to center and universities - Welkeys,Moulins, 2643,29,2,Apartment,"2 beds(1 double, 1 large double)",,,,1.9 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/atypical-flat-in-lille-close-to-center-and-universities-welkeys.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=579813302_265508648_5_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=153&highlighted_blocks=579813302_265508648_5_0_0&hpos=3&no_rooms=1&sr_order=price&sr_pri_blocks=579813302_265508648_5_0_0__264293&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Residhotel Lille Vauban,Vauban, 2654,29,2,Studio (2 Adults),Beds: 1 double or 2 singles,8.4,Very good,"1,432 reviews",1.3 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/residhotel-lille-vauban.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=18029301_88532552_2_1_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=154&highlighted_blocks=18029301_88532552_2_1_0&hpos=4&no_rooms=1&sr_order=price&sr_pri_blocks=18029301_88532552_2_1_0__265400&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Escale de 80 m2 avec cour et parking,Wazemmes, 2661,29,2,Two-Bedroom Apartment,2 large double beds,8.1,Very good,10 reviews,1.4 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/escale-de-80-m2-avec-cour-et-parking.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=597168502_253773753_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=155&highlighted_blocks=597168502_253773753_2_0_0&hpos=5&no_rooms=1&sr_order=price&sr_pri_blocks=597168502_253773753_2_0_0__266100&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charmant appartement au coeur du Vieux Lille,Vieux Lille, 2662,29,2,Apartment with Terrace,"2 beds(1 sofa bed, 1 large double)",8.4,Very good,44 reviews,450 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charmant-appartement-au-coeur-du-vieux-lille.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=422869001_207457602_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=156&highlighted_blocks=422869001_207457602_2_0_0&hpos=6&no_rooms=1&sr_order=price&sr_pri_blocks=422869001_207457602_2_0_0__266170&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 4pers,Lille Centre, 2665,29,2,Apartment,2 double beds,,,,350 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/superbe-appart-2-chambres-en-plein-centre.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=641882302_265477931_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=157&highlighted_blocks=641882302_265477931_4_0_0&hpos=7&no_rooms=1&sr_order=price&sr_pri_blocks=641882302_265477931_4_0_0__266492&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Center of Lille - Nice 70m2 apartment 4pers 2bdr,Lille Centre, 2665,29,2,Apartment,2 double beds,,,,500 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/center-of-lille-nice-70m2-apartment-2rooms.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=641516402_265481173_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=158&highlighted_blocks=641516402_265481173_4_0_0&hpos=8&no_rooms=1&sr_order=price&sr_pri_blocks=641516402_265481173_4_0_0__266492&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 4pers,Lille Centre, 2665,29,2,Apartment,2 double beds,,,,350 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/lille-grand-place-superbe-appart-avec-cachet.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=641882502_265483263_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=159&highlighted_blocks=641882502_265483263_4_0_0&hpos=9&no_rooms=1&sr_order=price&sr_pri_blocks=641882502_265483263_4_0_0__266492&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le 84 Sainte-Cath',Vieux Lille, 2668,29,2,Studio Apartment,1 double bed,8.8,Fabulous,190 reviews,900 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-84.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=114241602_90535582_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=160&highlighted_blocks=114241602_90535582_2_0_0&hpos=10&no_rooms=1&sr_order=price&sr_pri_blocks=114241602_90535582_2_0_0__266800&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Apart AU STANDING - Ambiance Cosy - dans un immeuble de Prestige du 19éme siècle - terrasse au rdc - parking,Lille Centre, 2668,29,2,Superior Apartment,1 double bed,8.7,Fabulous,56 reviews,1.4 km,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-prestige-lille.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=444197902_133165831_2_2_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=161&highlighted_blocks=444197902_133165831_2_2_0&hpos=11&no_rooms=1&sr_order=price&sr_pri_blocks=444197902_133165831_2_2_0__266800&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Noella's Suite,Vieux Lille, 2678,29,2,Apartment (4 Adults),"2 beds(1 double, 1 sofa bed)",8.5,Very good,66 reviews,450 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/noella-s-suite.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=59149702_88934059_2_2_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=162&highlighted_blocks=59149702_88934059_2_2_0&hpos=12&no_rooms=1&sr_order=price&sr_pri_blocks=59149702_88934059_2_2_0__267750&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Bright and charming two-bedroom duplex in the heart of Old Lille - Welkeys,Vieux Lille, 2704,29,2,Apartment,2 double beds,,,,800 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/bright-and-charming-two-bedroom-duplex-in-the-heart-of-old-lille-welkeys.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=649670102_265967899_4_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=163&highlighted_blocks=649670102_265967899_4_0_0&hpos=13&no_rooms=1&sr_order=price&sr_pri_blocks=649670102_265967899_4_0_0__270402&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
urban by balladins Lille Gare,Lille Centre, 2737,29,2,Twin Room,2 single beds,8,Very good,"2,470 reviews",450 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/hotel-balladins-superior-lille-centre.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=20847319_95254209_0_2_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=164&highlighted_blocks=20847319_95254209_0_2_0&hpos=14&no_rooms=1&sr_order=price&sr_pri_blocks=20847319_95254209_0_2_0__273700&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le Valentina Suite Grand place,Lille Centre, 2801,29,2,Two-Bedroom Apartment - Ground Floor,"3 beds(1 double, 2 sofa beds)",8.2,Very good,18 reviews,350 m,Tuesday 1 June 2021,Wednesday 30 June 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-valentina-suite.en-gb.html?aid=356980&sid=7267e43e250c3936b430d7f72de8cfbb&all_sr_blocks=208222801_95499660_2_0_0&checkin=2021-06-01&checkout=2021-06-30&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=165&highlighted_blocks=208222801_95499660_2_0_0&hpos=15&no_rooms=1&sr_order=price&sr_pri_blocks=208222801_95499660_2_0_0__280139&srepoch=1605067297&srpvid=8bf01c50b80e0077&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
