name,location,total_price,Nbr_of_nights,Nbr_of_persons,room_type,beds,rating,rating_title,number_of_ratings,distance_from_centre,start_date,end_date,breakfast_inclusion,free_cancellation,url
Little Suite - Malo,Lille, 1500,30,2,One-Bedroom Apartment,"2 beds(1 double, 1 sofa bed)",,,,2.4 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-malo.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=48333501_101763422_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=21&highlighted_blocks=48333501_101763422_0_0_0&hpos=21&no_rooms=1&sr_order=price&sr_pri_blocks=48333501_101763422_0_0_0__149999&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Stella,Vieux Lille, 1500,30,2,Studio Apartment,1 double bed,9.1,Superb,6 reviews,150 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-stella.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=235152101_109926633_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=22&highlighted_blocks=235152101_109926633_0_0_0&hpos=22&no_rooms=1&sr_order=price&sr_pri_blocks=235152101_109926633_0_0_0__150000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Nocnoc - Grand Place - Le Retro,Vieux Lille, 1513,30,2,One-Bedroom Apartment,"2 beds(1 double, 1 sofa bed)",,,,100 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/nocnoc-grand-place-le-retro-lille1.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=615091501_279079631_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=23&highlighted_blocks=615091501_279079631_2_0_0&hpos=23&no_rooms=1&sr_order=price&sr_pri_blocks=615091501_279079631_2_0_0__151301&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Bright and design apartment CENTRE-EURALILLE,Lille Centre, 1519,30,2,Studio,1 sofa bed,,,,650 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/bright-and-design-apartment-centre-euralille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=625612602_270860090_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=24&highlighted_blocks=625612602_270860090_2_0_0&hpos=24&no_rooms=1&sr_order=price&sr_pri_blocks=625612602_270860090_2_0_0__151875&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
NOCNOC - Le Petit National,Vauban, 1560,30,2,Apartment,"2 beds(1 double, 1 sofa bed)",7.1,Good,49 reviews,1.2 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/la-petit-national.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=337213301_279079694_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=25&highlighted_blocks=337213301_279079694_0_0_0&hpos=25&no_rooms=1&sr_order=price&sr_pri_blocks=337213301_279079694_0_0_0__155954&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Marceau,Vieux Lille, 1560,30,2,Studio Apartment,1 double bed,,,,1.2 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-marceau.en-gb.html?aid=356980&sid=fa710df3e37635a8b34abc08343a01a0&all_sr_blocks=224084801_212909957_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=26&highlighted_blocks=224084801_212909957_0_0_0&hpos=1&no_rooms=1&sr_order=price&sr_pri_blocks=224084801_212909957_0_0_0__156000&srepoch=1605067039&srpvid=93ed1bcf82e00050&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Flandres Appart' Hotel par NOCNOC,Lille Centre, 1566,30,2,One-Bedroom Apartment-First Floor,"2 beds(1 sofa bed, 1 large double)",8.6,Fabulous,489 reviews,400 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/flandres-appart.en-gb.html?aid=356980&sid=fa710df3e37635a8b34abc08343a01a0&all_sr_blocks=147507108_279079701_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=27&highlighted_blocks=147507108_279079701_2_0_0&hpos=2&no_rooms=1&sr_order=price&sr_pri_blocks=147507108_279079701_2_0_0__156649&srepoch=1605067039&srpvid=93ed1bcf82e00050&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Bright studio near EURALILLE,Lille Centre, 1584,30,2,Studio,2 single beds,,,,700 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/bright-studio-near-euralille.en-gb.html?aid=356980&sid=fa710df3e37635a8b34abc08343a01a0&all_sr_blocks=671892802_274567525_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=28&highlighted_blocks=671892802_274567525_2_0_0&hpos=3&no_rooms=1&sr_order=price&sr_pri_blocks=671892802_274567525_2_0_0__158375&srepoch=1605067039&srpvid=93ed1bcf82e00050&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
La Halte Lilloise Euralille,Lille, 1593,30,2,Studio Apartment,1 double bed,9.3,Superb,45 reviews,1.5 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/la-halte-lilloise.en-gb.html?aid=356980&sid=fa710df3e37635a8b34abc08343a01a0&all_sr_blocks=288624401_116019231_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=29&highlighted_blocks=288624401_116019231_0_0_0&hpos=4&no_rooms=1&sr_order=price&sr_pri_blocks=288624401_116019231_0_0_0__159299&srepoch=1605067039&srpvid=93ed1bcf82e00050&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Duplex savane,Fives, 1598,30,2,One-Bedroom Apartment,1 double bed,,,,1.5 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/duplex-savane.en-gb.html?aid=356980&sid=fa710df3e37635a8b34abc08343a01a0&all_sr_blocks=672179201_275128007_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=30&highlighted_blocks=672179201_275128007_2_0_0&hpos=5&no_rooms=1&sr_order=price&sr_pri_blocks=672179201_275128007_2_0_0__159750&srepoch=1605067039&srpvid=93ed1bcf82e00050&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
